id,Sist,Subs,Equ,Comp,Equipo,Componente,Parte,Tipo_equipo,Criticidad,Sigla,Tag,Plan,AMEF,VE,VE-S2-R1,VE-S2-I1,VE-S2-M1,VE-S2-TO,VE-S2-CT,VE-S2-LAA,VE-S1-M1,VE-S1-R1,VE-S1-TO,VE-S1-CT,VE-S1-LAA,VE-LIN-VH,VE-EDF-EIR,VE-EDF-EOB,VE-EDF-EAO,VE-EDF-ELB,VE-S2-I1-TMC,BL,BL-S1-M1,BL-S1-R1,BL-S1-TO,BL-S1-CT,BL-S1-LAA,BL-S2-R1,BL-S2-I1,BL-S2-M1,BL-S2-TO,BL-S2-CT,BL-S2-LAA,BL-LIN-VH,BL-EDF-ESJ,BL-EDF-ETR,BL-EDF-EBH,BL-EDF-EVI,BL-S1-M1-TMC,BL-S2-M1-TMC,NA,NA-S1-R1,NA-S1-I1,NA-S1-M1,NA-S1-TO,NA-S1-CT,NA-S1-LAA,NA-S2-M1,NA-S2-R1,NA-S2-TO,NA-S2-CT,NA-S2-LAA,NA-LIN-VH,NA-EDF-ECN,NA-EDF-EAR,NA-EDF-EPE,NA-EDF-EVI,NA-S1-R1-TMC,CE,CE-S1-R1,CE-S1-M1,CE-S1-TO,CE-S1-CT,CE-S1-LAA,CE-S2-R1,CE-S2-M1,CE-S2-R2,CE-S2-TO,CE-S2-CT,CE-S2-CT.1,CE-S2-LAA,CE-LIN-VH,CE-EDF-ELI,CE-EDF-EPT,CE-EDF-ETR,CE-EDF-EEP,CE-S1-R1-TMC,CA,CA-S1-R1,CA-S1-M1,CA-S1-CT,CA-S1-TO,CA-S1-LAA,CA-LIN-VH,CA-EDF-EVL,CA-EDF-EBU,CA-S1-M1-TMC,PL,PL-S1-M1,PL-S1-I1,PL-S1-R1,PL-S1-TO,PL-S1-CT,PL-S1-LAA,PL-LIN-VH,PL-EDF-E16,PL-EDF-EFM,PL-EDF-EMR,PL-S1-I1-TMC,Unnamed: 110
11.0,ACC,PRI,AMR,ATC,,ACOPLE TIPO CARDAN,,Componente,ALTA,ATC,ACC-PRI-AMR-ATC,ACOPLE TIPO CARDAN (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
12.0,ACC,PRI,AMR,DIN1,,DISCO DE INERCIA 1,,Componente,ALTA,DIN1,ACC-PRI-AMR-DIN1,DISCO DE INERCIA (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
13.0,ACC,PRI,AMR,DIN2,,DISCO DE INERCIA 2,,Componente,ALTA,DIN2,ACC-PRI-AMR-DIN2,DISCO DE INERCIA (LBD),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
14.0,ACC,PRI,RPR,,REDUCTOR PRINCIPAL,,,Equipo,MUY ALTA,RPR,ACC-PRI-RPR,,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
15.0,ACC,PRI,RPR,ERP,,ESTRUCTURA DEL REDUCTOR PRINCIPAL,,Componente,MUY ALTA,ERP,ACC-PRI-RPR-ERP,ESTRUCTURA DEL REDUCTOR PRINCIPAL (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
16.0,ACC,PRI,RPR,ECR,,ELEMENTOS DE CONTROL DE REFRIGERACION REDUCTOR,,Componente,MUY ALTA,ECR,ACC-PRI-RPR-ECR,ELEMENTOS DE CONTROL DE REFRIGERACIÓN REDUCTOR (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
17.0,ACC,PRI,RAR,,REFRIGERACIÓN DE ACEITE-REDUCTOR,,,Equipo,ALTA,RAR,ACC-PRI-RAR,,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
18.0,ACC,PRI,RAR,RIC,,RADIADOR  INTERCAMBIADOR DE CALOR,,Componente,ALTA,RIC,ACC-PRI-RAR-RIC,RADIADOR INTERCAMBIADOR DE CALOR (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
19.0,ACC,PRI,RAR,BRE,,BOMBA DE RECIRCULACIÓN,,Componente,ALTA,BRE,ACC-PRI-RAR-BRE,BOMBA DE RECIRCULACIÓN (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
20.0,ACC,PRI,RAR,CHRA,,CIRCUITO HIDRAULICO REFRIGERACION ACEITE,,Componente,ALTA,CHRA,ACC-PRI-RAR-CHRA,CIRCUITO HIDRAULICO REFRIGERACIÓN ACEITE (LBD),True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
21.0,ACC,PRI,ATRA,,ÁRBOL DE TRANSMISIÓN,,,Equipo,ALTA,ATRA,ACC-PRI-ATRA,,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
22.0,ACC,PRI,ATRA,EAAT,,ELEMENTOS DE ACOPLAMIENTO DEL ARBOL DE TRANSMISION,,Componente,ALTA,EAAT,ACC-PRI-ATRA-EAAT,ACOPLAMIENTO DEL ARBOL DE TRANSMISION (LBD),False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
